player_id,name,season,position,games,goals,shots,time,xG,assists,xA,key_passes,team,yellow,red,npg,npxG,xGChain,xGBuildup
769,Jonjo Shelvey,2014,DMC,31,3,62,2471,4.547880021855235,5,2.943915719166398,30,Swansea,8,1,2,3.7867110054939994,11.989973126910629,7.097531080245972
770,Ayoze Pérez,2022,MR,8,0,8,373,0.8422358185052872,1,1.504247609525919,11,Leicester,0,0,0,0.8422358185052872,2.61279970407486,0.4408004991710186
770,Ayoze Pérez,2021,AMR,14,2,11,443,2.0579842533916235,3,1.2277688030153513,11,Leicester,0,1,2,2.0579842533916235,2.99056632257998,0.6373151019215584
770,Ayoze Pérez,2020,MR,25,2,31,1326,4.036575708538294,1,1.2486079968512058,23,Leicester,2,0,2,4.036575708538294,9.872756661847234,6.759955529123545
770,Ayoze Pérez,2019,MR,33,8,47,2045,6.557799419388175,4,4.091642318293452,28,Leicester,0,0,7,5.796633398160338,12.850332770496609,4.473773792386055
770,Ayoze Pérez,2018,AMC,37,12,55,2950,8.294695003889501,2,4.0325940903276205,45,Newcastle United,2,0,12,8.294695003889501,15.605246301740408,5.627834742888808
770,Ayoze Pérez,2017,AMC,36,8,60,2502,6.864799472503364,5,5.451955894008279,36,Newcastle United,3,0,8,6.864799472503364,14.115952454507353,6.33331048861146
770,Ayoze Pérez,2015,Sub,34,6,50,2046,3.795658176764846,2,2.894735593348741,30,Newcastle United,4,0,6,3.795658176764846,8.319605821743608,3.6317452215589583
770,Ayoze Pérez,2014,Sub,36,7,61,2369,5.7461924236267805,0,2.900992516428232,28,Newcastle United,0,0,7,5.7461924236267805,9.56750363111496,3.0196252688765526
771,Georginio Wijnaldum,2020,MC,38,2,31,2961,2.817426955327392,0,1.6629221122711897,21,Liverpool,1,0,2,2.817426955327392,13.922177974134684,10.476275946944952
771,Georginio Wijnaldum,2019,MC,37,4,36,2980,2.651080599054694,0,0.8085468038916588,18,Liverpool,0,0,4,2.651080599054694,13.4786586612463,10.856714563444257
771,Georginio Wijnaldum,2018,MC,35,3,30,2749,3.1802032478153706,0,1.9434383204206824,25,Liverpool,3,0,3,3.1802032478153706,14.712284257635474,10.547700267285109
771,Georginio Wijnaldum,2017,MC,33,1,38,2392,2.9904263420030475,2,1.640650313347578,22,Liverpool,1,0,1,2.9904263420030475,9.857888711616395,6.885664792731404
771,Georginio Wijnaldum,2016,MC,36,6,60,2981,5.565248481929302,9,5.296915907412767,43,Liverpool,2,0,6,5.565248481929302,18.880973957479,10.874715276062489
771,Georginio Wijnaldum,2015,AMC,38,11,54,3178,7.928211936727166,5,3.8174392245709896,47,Newcastle United,1,0,10,7.167042950168252,14.637868957594035,5.733465444296598
772,Moussa Sissoko,2021,MC,36,2,25,3222,4.18377473577857,1,2.6050246274098754,36,Watford,5,0,2,4.18377473577857,8.571279365569353,3.9166604364290833
772,Moussa Sissoko,2020,Sub,25,0,3,1563,0.2480729036033153,0,0.1844095010310411,4,Tottenham,3,0,0,0.2480729036033153,4.13622404076159,3.926960030570626
772,Moussa Sissoko,2019,MC,29,2,15,2466,2.5392528865486383,1,1.695646209642291,16,Tottenham,8,0,2,2.5392528865486383,8.97499318420887,5.87564723007381
772,Moussa Sissoko,2018,MC,29,0,15,2344,0.9559975024312736,3,2.7940404880791903,25,Tottenham,2,0,0,0.9559975024312736,10.871973887085916,8.834698006510735
772,Moussa Sissoko,2017,AMR,33,1,19,1385,2.9389142598956823,1,2.5008671516552567,27,Tottenham,3,0,1,2.9389142598956823,8.576147095300257,4.019555271603167
772,Moussa Sissoko,2016,Sub,25,0,17,878,0.8654736988246441,2,1.0400274256244302,21,Tottenham,3,0,0,0.8654736988246441,4.679264411330223,3.2270185071974997
772,Moussa Sissoko,2015,AMR,37,1,38,3234,3.3141868663951755,7,5.964938495308161,57,Newcastle United,3,0,1,3.3141868663951755,13.733191521838307,6.391512014903128
772,Moussa Sissoko,2014,MC,34,4,44,3037,3.952444814145565,2,4.653361378237605,44,Newcastle United,7,2,4,3.952444814145565,12.273814404383302,6.720515612512827
773,Aleksandar Mitrovic,2023,Sub,1,0,2,31,0.1909874528646469,0,0.0,0,Fulham,0,0,0,0.1909874528646469,0.1909874528646469,0.0
773,Aleksandar Mitrovic,2022,FW,24,14,93,2022,16.17901684064418,1,2.334498234093189,15,Fulham,7,0,10,10.089664130471649,11.802805667743089,2.575260256417096
773,Aleksandar Mitrovic,2020,Sub,27,3,59,1369,5.677359725348651,3,2.9247109331190586,23,Fulham,3,0,2,4.155023763887584,7.808299947530031,1.849482994526625
773,Aleksandar Mitrovic,2018,FW,37,11,131,3285,15.452770731411874,3,2.9691329449415207,31,Fulham,7,0,10,14.691605768166482,18.89713564515114,5.371468796394765
773,Aleksandar Mitrovic,2017,Sub,6,1,4,73,1.2253827080130577,0,0.2734846994280815,3,Newcastle United,0,0,1,1.2253827080130577,1.534306351095438,0.1979863084852695
773,Aleksandar Mitrovic,2015,Sub,34,9,79,2103,10.339352402836084,4,2.2244459111243486,30,Newcastle United,4,2,7,8.817017409950495,10.392626240849497,2.8724034801125526
774,Siem de Jong,2015,Sub,18,0,8,434,0.9610869996249676,1,0.0683836005628109,2,Newcastle United,0,0,0,0.9610869996249676,1.2229401171207428,0.261852603405714
774,Siem de Jong,2014,Sub,4,1,5,143,0.4718473087996244,0,0.4014580100774765,3,Newcastle United,0,0,1,0.4718473087996244,0.958554908633232,0.0852499008178711
775,Andros Townsend,2023,Sub,27,1,20,1211,1.4216714538633823,3,1.456837410107255,18,Luton,1,0,1,1.4216714538633823,2.8022335171699524,1.2012790031731129
775,Andros Townsend,2021,AMR,21,3,21,1463,2.262585835531354,2,2.849117113277316,31,Everton,3,0,2,1.501416826620698,5.317550402134657,2.756819086149335
775,Andros Townsend,2020,MR,34,1,36,2255,2.471999518573284,5,4.1464946530759335,40,Crystal Palace,0,0,1,2.471999518573284,7.262481946498156,3.630241433158517
775,Andros Townsend,2019,MR,24,1,12,1272,0.3956621009856462,1,1.7137902155518532,13,Crystal Palace,0,0,1,0.3956621009856462,2.36252611130476,1.2008680794388056
775,Andros Townsend,2018,MR,38,6,63,3030,4.878754872828722,4,3.699903182685375,61,Crystal Palace,1,0,6,4.878754872828722,11.944321019575,4.850389486178756
775,Andros Townsend,2017,Sub,36,2,62,3141,3.11042121052742,7,8.643183490261436,66,Crystal Palace,3,0,2,3.11042121052742,14.719996206462383,5.970379665493965
775,Andros Townsend,2016,AMR,36,3,56,2542,3.331525790505111,4,5.83449300378561,51,Crystal Palace,4,0,3,3.331525790505111,9.206503234803677,2.900456278584897
775,Andros Townsend,2015,AMR,13,4,24,1091,1.2692780010402205,2,2.2502003964036703,26,Newcastle United,0,0,4,1.2692780010402205,4.034858398139477,1.5454716989770532
775,Andros Townsend,2015,Sub,3,0,5,58,0.19694310054183,0,0.5707600116729736,2,Tottenham,0,0,0,0.19694310054183,1.1899770498275757,0.7206716239452362
775,Andros Townsend,2014,Sub,17,2,16,767,1.7839630078524351,2,0.9517875052988528,13,Tottenham,2,0,1,1.0227939914911983,2.9315958321094517,1.8411776442080736
776,Seydou Doumbia,2015,Sub,3,0,1,25,0.068741001188755,0,0.0,0,Newcastle United,0,0,0,0.068741001188755,0.1341239959001541,0.0653828009963035
777,Emmanuel Rivière,2015,Sub,3,0,3,64,0.2406504973769188,0,0.0839437991380691,1,Newcastle United,0,0,0,0.2406504973769188,0.4482399895787239,0.1236459016799926
777,Emmanuel Rivière,2014,FW,23,1,32,1231,3.654045790433884,1,0.9126386996358632,15,Newcastle United,0,0,1,3.654045790433884,4.948962766677141,1.4548593144863844
778,Henri Saivet,2017,MC,1,1,1,86,0.039021398872137,0,0.0,0,Newcastle United,0,0,1,0.039021398872137,0.5357739925384521,0.5357739925384521
778,Henri Saivet,2015,Sub,4,0,0,150,0.0,0,0.0153256002813577,1,Newcastle United,0,0,0,0.0,0.2304726038128137,0.2304726038128137
779,Jamie Sterry,2015,Sub,1,0,0,4,0.0,0,0.0,0,Newcastle United,0,0,0,0.0,0.0,0.0
780,Karl Darlow,2021,GK,8,0,0,720,0.0,0,0.0,0,Newcastle United,1,0,0,0.0,0.5584848849102855,0.5584848849102855
780,Karl Darlow,2020,GK,25,0,0,2250,0.0,0,0.0,0,Newcastle United,2,0,0,0.0,0.9974315781146288,0.9974315781146288
780,Karl Darlow,2017,GK,10,0,0,900,0.0,0,0.0,0,Newcastle United,0,0,0,0.0,0.274502039887011,0.274502039887011
780,Karl Darlow,2015,GK,9,0,0,810,0.0,0,0.0,0,Newcastle United,0,0,0,0.0,0.1505295969545841,0.1505295969545841
781,Jeremain Lens,2016,Sub,2,0,3,64,0.1271509975194931,0,0.1900340020656585,2,Sunderland,0,0,0,0.1271509975194931,0.5295471027493477,0.2596910968422889
781,Jeremain Lens,2015,ML,20,3,26,1299,1.33960447832942,3,2.9814170990139246,18,Sunderland,3,1,3,1.33960447832942,5.8241102527827024,2.4477846082299948
782,Ben Chilwell,2023,DML,13,0,12,771,1.2212005220353603,1,1.793320189230144,14,Chelsea,5,0,0,1.2212005220353603,3.850440725684166,1.9574524844065309
782,Ben Chilwell,2022,DML,23,2,16,1418,1.465110638178885,2,1.9936782559379933,21,Chelsea,3,0,2,1.465110638178885,4.494038670323789,3.5327052902430296
782,Ben Chilwell,2021,DML,7,3,13,541,1.298325777053833,1,0.8330149054527283,10,Chelsea,0,0,3,1.298325777053833,4.463375482708216,3.4082015678286552
782,Ben Chilwell,2020,DL,27,3,27,2296,2.984890672378242,5,2.4556783102452755,30,Chelsea,3,0,3,2.984890672378242,11.330960918217896,8.155131109058857
782,Ben Chilwell,2019,DL,27,3,16,2382,1.0977275986224413,3,3.535527830943465,33,Leicester,3,0,3,1.0977275986224413,10.08815387263894,8.040449786931276
782,Ben Chilwell,2018,DL,36,0,22,3240,0.972871252335608,4,3.073072262108326,45,Leicester,4,0,0,0.972871252335608,9.096351135522127,7.060785120353103
782,Ben Chilwell,2017,DL,24,0,6,1855,0.2237122012302279,2,2.6106312330812216,20,Leicester,1,1,0,0.2237122012302279,7.099950015544891,4.937577690929174
782,Ben Chilwell,2016,DL,12,1,7,686,0.668289303779602,0,0.3706484157592058,2,Leicester,2,0,1,0.668289303779602,2.7422422990202904,1.7279787100851536
783,Nathan Dyer,2017,Sub,24,0,10,1307,0.8463072124868631,0,0.6981970025226474,10,Swansea,2,0,0,0.8463072124868631,2.734948113560677,1.8049527574330568
783,Nathan Dyer,2016,Sub,8,0,3,203,0.0866806972771883,1,0.1286595975980162,3,Swansea,0,0,0,0.0866806972771883,0.2919185049831867,0.1746837068349123
783,Nathan Dyer,2015,Sub,12,1,5,193,0.2630394995212555,1,0.4406009912490845,3,Leicester,1,0,1,0.2630394995212555,1.2117387130856514,0.5673060901463032
783,Nathan Dyer,2015,Sub,1,0,0,16,0.0,0,0.1296409964561462,2,Swansea,0,0,0,0.0,0.1296409964561462,0.0563420988619327
783,Nathan Dyer,2014,AMR,32,3,17,1879,2.01653119456023,2,2.235176409594714,22,Swansea,2,0,3,2.01653119456023,8.583801867440343,5.942768881097436
784,Andy King,2017,Sub,11,2,8,734,0.8963725846260786,0,0.1954167988151312,4,Swansea,1,0,2,0.8963725846260786,1.2676436211913824,0.8978111008182168
784,Andy King,2017,MC,11,1,6,530,0.6642411025241017,0,0.0612310003489255,2,Leicester,1,0,1,0.6642411025241017,0.8652914175763726,0.6545540066435933
784,Andy King,2016,MC,23,1,14,1439,0.6111542116850615,0,0.2418254036456346,6,Leicester,4,0,1,0.6111542116850615,3.630845595151186,3.1202397271990776
784,Andy King,2015,MC,25,2,19,1030,2.715634703636169,1,1.0578415095806122,9,Leicester,2,0,2,2.715634703636169,5.486793368123472,2.457544647157192
784,Andy King,2014,MC,24,2,14,1366,2.062913218513131,0,0.129082198254764,5,Leicester,1,0,2,2.062913218513131,4.114323317073286,2.8485571844503284
785,John Ruddy,2021,GK,2,0,0,129,0.0,0,0.0,0,Wolverhampton Wanderers,0,0,0,0.0,0.0,0.0
785,John Ruddy,2020,Sub,2,0,0,91,0.0,0,0.0,0,Wolverhampton Wanderers,0,0,0,0.0,0.0,0.0
785,John Ruddy,2018,GK,1,0,0,90,0.0,0,0.0,0,Wolverhampton Wanderers,0,0,0,0.0,0.0,0.0
785,John Ruddy,2015,GK,27,0,0,2430,0.0,0,0.0,0,Norwich,0,0,0,0.0,0.9111145082861184,0.9111145082861184
786,Ivo Pinto,2015,DR,10,0,0,811,0.0,0,0.121313203126192,2,Norwich,0,0,0,0.0,1.3475633338093758,1.302699238061905
