id,goals,own_goals,shots,xG,time,player_id,team_id,position,player,h_a,yellow_card,red_card,roster_in,roster_out,key_passes,assists,xA,xGChain,xGBuildup,positionOrder,match_id,season,side
57182,0,0,1,0.017960000783205,90,568,90,DL,José Holebas,a,1,0,0,0,1,0,0.0178468991070985,0.1603710055351257,0.1424109935760498,4,83,2015,a
57183,0,0,2,0.0901188999414444,90,577,90,MR,Ikechi Anya,a,0,0,0,0,1,0,0.017960000783205,0.2504900097846985,0.1424109935760498,8,83,2015,a
57184,0,0,1,0.0234593003988266,90,572,90,MC,Etienne Capoue,a,0,0,0,0,1,0,0.0784830972552299,0.2559889853000641,0.1540469974279403,9,83,2015,a
57185,0,0,0,0.0,81,570,90,MC,Valon Behrami,a,0,0,57191,0,0,0,0.0,0.1245639994740486,0.1245639994740486,9,83,2015,a
57186,1,0,2,0.1086520031094551,61,1016,90,ML,Miguel Layún,a,0,0,57189,0,1,0,0.1245639994740486,0.2634769976139068,0.0302600003778934,10,83,2015,a
57187,0,0,1,0.0314191989600658,76,582,90,AMC,Jurado,a,0,0,57190,0,2,0,0.05371930077672,0.2097029983997345,0.1245639994740486,12,83,2015,a
57188,0,0,3,0.1726710051298141,90,574,90,FW,Troy Deeney,a,1,0,0,0,1,1,0.1141759976744651,0.2868469953536987,0.0302600003778934,15,83,2015,a
57190,1,0,1,0.1141759976744651,14,573,90,Sub,Odion Ighalo,a,0,0,0,57187,0,0,0.0,0.1141759976744651,0.0,17,83,2015,a
57191,0,0,0,0.0,9,571,90,Sub,Ben Watson,a,0,0,0,57185,1,0,0.0116357998922467,0.0116357998922467,0.0,17,83,2015,a
57189,0,0,0,0.0,29,578,90,Sub,Juan Carlos Paredes,a,0,0,0,57186,0,0,0.0,0.0,0.0,17,83,2015,a
57192,0,0,0,0.0,90,745,75,GK,Kasper Schmeichel,h,0,0,0,0,0,0,0.0,0.0,0.0,1,84,2015,h
57193,0,0,0,0.0,78,955,75,DR,Ritchie de Laet,h,0,0,57204,0,0,0,0.0,0.0662664994597435,0.0662664994597435,2,84,2015,h
57195,0,0,1,0.016160000115633,90,748,75,DC,Wes Morgan,h,0,0,0,0,0,0,0.0,0.4223450124263763,0.4223450124263763,3,84,2015,h
57194,0,0,0,0.0,90,747,75,DC,Robert Huth,h,0,0,0,0,0,0,0.0,0.1341170072555542,0.1341170072555542,3,84,2015,h
57196,0,0,1,0.0302044991403818,90,757,75,DL,Jeffrey Schlupp,h,1,0,0,0,0,0,0.0,0.7899709939956665,0.7597659826278687,4,84,2015,h
57197,1,0,2,0.1556809991598129,90,753,75,MR,Marc Albrighton,h,0,0,0,0,6,2,0.5880910158157349,0.932977020740509,0.2873530089855194,8,84,2015,h
57198,0,0,1,0.0179833006113767,90,752,75,MC,Daniel Drinkwater,h,0,0,0,0,2,0,0.1959089934825897,0.5790050029754639,0.3651129901409149,9,84,2015,h
57199,0,0,1,0.0486612990498542,90,784,75,MC,Andy King,h,0,0,0,0,0,0,0.0,0.4237929880619049,0.3751319944858551,9,84,2015,h
57200,2,0,6,1.2469799518585205,80,750,75,ML,Riyad Mahrez,h,0,0,57203,0,4,0,0.456743985414505,0.8736990094184875,0.1426279991865158,10,84,2015,h
57201,0,0,2,0.278311014175415,90,754,75,FW,Shinji Okazaki,h,0,0,0,0,2,0,0.0842498019337654,1.3333899974822998,1.0370899438858032,15,84,2015,h
57202,1,0,5,0.7740489840507507,85,755,75,FW,Jamie Vardy,h,1,0,57205,0,3,0,0.2807869911193847,1.138319969177246,0.152099996805191,15,84,2015,h
57204,0,0,0,0.0,12,974,75,Sub,Yohan Benalouane,h,0,0,0,57193,0,0,0.0,0.0,0.0,17,84,2015,h
57205,0,0,0,0.0,5,751,75,Sub,N&#039;Golo Kanté,h,0,0,0,57202,1,0,0.1217620000243187,0.1217620000243187,0.0,17,84,2015,h
57203,0,0,0,0.0,10,749,75,Sub,Christian Fuchs,h,0,0,0,57200,0,0,0.0,0.0,0.0,17,84,2015,h
57206,0,0,0,0.0,90,580,77,GK,Costel Pantilimon,a,0,0,0,0,0,0,0.0,0.7258269786834717,0.7258269786834717,1,84,2015,a
57207,0,0,0,0.0,57,742,77,DR,Billy Jones,a,1,0,57218,0,0,0,0.0,0.0104473996907472,0.0104473996907472,2,84,2015,a
57208,0,0,1,0.0272771008312702,90,736,77,DC,Younes Kaboul,a,1,0,0,0,0,0,0.0,0.702413022518158,0.702413022518158,3,84,2015,a
57209,0,0,0,0.0,90,927,77,DC,Sebastián Coates,a,1,0,0,0,0,0,0.0,0.3238190114498138,0.3238190114498138,3,84,2015,a
57210,0,0,0,0.0,90,730,77,DL,Patrick van Aanholt,a,0,0,0,0,0,0,0.0,0.358487993478775,0.358487993478775,4,84,2015,a
57211,0,0,0,0.0,29,738,77,DMC,Lee Cattermole,a,0,0,57217,0,0,0,0.0,0.0121967000886797,0.0121967000886797,7,84,2015,a
57212,0,0,1,0.0121967000886797,90,929,77,MR,Adam Johnson,a,0,0,0,0,5,1,0.5525739789009094,0.3706850111484527,0.358487993478775,8,84,2015,a
57213,0,0,1,0.0112551003694534,90,740,77,MC,Sebastian Larsson,a,0,0,0,0,1,0,0.0121967000886797,0.7258639931678772,0.702413022518158,9,84,2015,a
57214,0,0,1,0.050374899059534,90,733,77,MC,Jack Rodwell,a,1,0,0,0,1,0,0.0112551003694534,1.04967999458313,1.04967999458313,9,84,2015,a
57215,0,0,1,0.0234145000576972,90,781,77,ML,Jeremain Lens,a,0,0,0,0,1,1,0.702413022518158,1.0618400573730469,0.336014986038208,10,84,2015,a
57216,1,0,3,0.5208029747009277,90,735,77,FW,Jermain Defoe,a,0,0,0,0,1,0,0.0104473996907472,0.53125,0.0,15,84,2015,a
57218,0,0,0,0.0,33,1034,77,Sub,Adam Matthews,a,0,0,0,57207,0,0,0.0,1.0374900102615356,1.0374900102615356,17,84,2015,a
57217,1,0,3,0.815513014793396,61,930,77,Sub,Steven Fletcher,a,0,0,0,57211,0,0,0.0,0.7128599882125854,0.0,17,84,2015,a
57274,0,0,0,0.0,90,785,79,GK,John Ruddy,h,0,0,0,0,0,0,0.0,0.072488397359848,0.072488397359848,1,85,2015,h
57275,0,0,2,0.0486824996769428,90,926,79,DR,Steven Whittaker,h,0,0,0,0,0,0,0.0,0.1357360035181045,0.0870537012815475,2,85,2015,h
57277,0,0,0,0.0,90,788,79,DC,Russell Martin,h,0,0,0,0,0,0,0.0,0.0328458994626998,0.0328458994626998,3,85,2015,h
57276,0,0,0,0.0,90,821,79,DC,Sebastien Bassong,h,0,0,0,0,0,0,0.0,0.0328458994626998,0.0328458994626998,3,85,2015,h
57278,0,0,3,0.0858101993799209,90,789,79,DL,Robbie Brady,h,0,0,0,0,2,0,0.0797306969761848,0.0856328979134559,0.0117161003872752,4,85,2015,h
57279,0,0,2,0.0594949014484882,56,791,79,DMC,Alexander Tettey,h,1,0,57285,0,0,0,0.0,0.0720323994755745,0.0125374998897314,7,85,2015,h
57280,0,0,1,0.0239179991185665,90,792,79,MR,Jonny Howson,h,0,0,0,0,2,0,0.0244254991412162,0.2771739959716797,0.2413679957389831,8,85,2015,h
57281,0,0,0,0.0,90,793,79,MC,Wes Hoolahan,h,0,0,0,0,3,1,0.1075190007686615,0.1768800020217895,0.0969138965010643,9,85,2015,h
57282,0,0,1,0.0118880001828074,82,801,79,MC,Graham Dorrans,h,0,0,57287,0,1,0,0.0171044003218412,0.0881197974085807,0.0591273009777069,9,85,2015,h
57283,0,0,4,0.1383370012044906,90,1011,79,ML,Bradley Johnson,h,0,0,0,0,0,0,0.0,0.0914525017142295,0.0,10,85,2015,h
57284,0,0,2,0.7001979947090149,56,467,79,FW,Lewis Grabban,h,0,0,57286,0,2,0,0.1092220023274421,0.8338459730148315,0.0244254991412162,15,85,2015,h
57286,0,0,1,0.0507097989320755,34,794,79,Sub,Cameron Jerome,h,0,0,0,57284,1,0,0.0279264003038406,0.0279264003038406,0.0,17,85,2015,h
57287,0,0,0,0.0,8,1010,79,Sub,Gary Hooper,h,0,0,0,57282,0,0,0.0,0.0279264003038406,0.0279264003038406,17,85,2015,h
57285,1,0,1,0.0117161003872752,34,790,79,Sub,Nathan Redmond,h,0,0,0,57279,1,0,0.0507097989320755,0.0117161003872752,0.0,17,85,2015,h
57288,0,0,0,0.0,90,635,78,GK,Alex McCarthy,a,0,0,0,0,0,0,0.0,0.0,0.0,1,85,2015,a
57289,0,0,1,0.0120090004056692,90,510,78,DR,Joel Ward,a,0,0,0,0,1,0,0.6316959857940674,1.585279941558838,1.573269963264465,2,85,2015,a
57290,1,0,1,0.3214739859104156,90,511,78,DC,Damien Delaney,a,0,0,0,0,0,0,0.0,0.3921380043029785,0.3921380043029785,3,85,2015,a
57291,0,0,0,0.0,90,512,78,DC,Scott Dann,a,0,0,0,0,0,0,0.0,0.1321270018815994,0.1321270018815994,3,85,2015,a
