id,league,season,club_name,home_away,xG,xGA,npxG,npxGA,ppda,ppda_allowed,deep,deep_allowed,scored,missed,xpts,result,date,wins,draws,loses,pts,npxGD
72,EPL,2014,Everton,a,0.418315,1.03921,0.418315,1.03921,8.95,13.210526315789474,5,3,0,2,0.6803,l,2015-03-04 19:45:00,0,0,1,0,-0.620895
72,EPL,2014,Everton,h,2.25807,0.809194,1.49698,0.809194,7.419354838709677,15.77777777777778,9,4,3,0,2.4509,w,2015-03-15 16:00:00,1,0,0,3,0.687786
72,EPL,2014,Everton,a,0.839996,1.39318,0.839996,1.39318,5.592592592592593,5.032258064516129,9,18,2,1,0.8868,w,2015-03-22 16:00:00,1,0,0,3,-0.5531840000000001
72,EPL,2014,Everton,h,1.02048,0.533646,1.02048,0.533646,8.52,4.435897435897436,3,6,1,0,1.8835,w,2015-04-04 15:00:00,1,0,0,3,0.4868340000000001
72,EPL,2014,Everton,a,0.842056,1.09678,0.842056,0.335615,12.61904761904762,9.833333333333334,9,4,1,1,1.0187,d,2015-04-11 12:45:00,0,1,0,1,0.506441
72,EPL,2014,Everton,h,2.36114,1.06159,1.59997,1.06159,6.166666666666667,14.095238095238097,14,5,1,0,2.3091,w,2015-04-18 15:00:00,1,0,0,3,0.5383799999999999
72,EPL,2014,Everton,h,1.07922,0.750462,1.07922,0.750462,16.4375,5.620689655172414,2,8,3,0,1.6700000000000002,w,2015-04-26 13:30:00,1,0,0,3,0.3287580000000001
72,EPL,2014,Everton,a,1.4049,1.56179,0.643736,1.56179,18.818181818181817,8.142857142857142,5,3,2,3,1.2105,l,2015-05-02 15:00:00,0,0,1,0,-0.918054
72,EPL,2014,Everton,h,1.14341,1.19799,1.14341,1.19799,4.705882352941177,15.571428571428571,18,2,0,2,1.2466,l,2015-05-09 12:45:00,0,0,1,0,-0.05458
72,EPL,2014,Everton,a,2.07078,0.813296,2.07078,0.813296,7.727272727272727,17.642857142857142,6,12,2,1,2.3333,w,2015-05-16 15:00:00,1,0,0,3,1.257484
72,EPL,2014,Everton,h,0.646215,1.39049,0.646215,1.39049,10.8,9.625,9,7,0,1,0.7365999999999999,l,2015-05-24 15:00:00,0,0,1,0,-0.744275
74,EPL,2014,Southampton,a,1.55248,1.33192,1.55248,1.33192,11.13888888888889,11.333333333333334,9,6,1,2,1.5269,l,2014-08-17 13:30:00,0,0,1,0,0.2205600000000001
74,EPL,2014,Southampton,h,0.665853,0.665791,0.665853,0.665791,7.444444444444445,12.391304347826088,5,2,0,0,1.2772,d,2014-08-23 15:00:00,0,1,0,1,6.20000000000065e-05
74,EPL,2014,Southampton,a,1.57513,0.635223,1.57513,0.635223,7.076923076923077,27.666666666666668,11,0,3,1,2.1543,w,2014-08-30 15:00:00,1,0,0,3,0.939907
74,EPL,2014,Southampton,h,2.11739,1.15026,2.11739,1.15026,11.8,20.55555555555556,4,1,4,0,2.1463,w,2014-09-13 15:00:00,1,0,0,3,0.9671299999999998
74,EPL,2014,Southampton,a,0.750244,0.520262,0.750244,0.520262,7.823529411764706,17.58823529411765,7,2,1,0,1.4978,w,2014-09-20 15:00:00,1,0,0,3,0.229982
74,EPL,2014,Southampton,h,2.34463,0.456323,2.34463,0.456323,9.545454545454543,14.555555555555555,8,3,2,1,2.6530000000000005,w,2014-09-27 15:00:00,1,0,0,3,1.888307
74,EPL,2014,Southampton,a,1.14587,0.898735,1.14587,0.898735,6.807692307692308,11.857142857142858,6,3,0,1,1.5762,l,2014-10-05 14:05:00,0,0,1,0,0.247135
74,EPL,2014,Southampton,h,3.71097,0.92175,3.71097,0.92175,10.36,24.727272727272727,16,3,8,0,2.8157,w,2014-10-18 15:00:00,1,0,0,3,2.7892200000000003
74,EPL,2014,Southampton,h,1.3758,0.867568,1.3758,0.867568,8.130434782608695,21.3125,8,0,1,0,1.7481999999999998,w,2014-10-25 15:00:00,1,0,0,3,0.5082319999999999
74,EPL,2014,Southampton,a,1.90484,0.256678,1.90484,0.256678,8.241379310344827,25.615384615384617,5,10,1,0,2.6974,w,2014-11-01 15:00:00,1,0,0,3,1.648162
74,EPL,2014,Southampton,h,1.00528,0.540434,1.00528,0.540434,7.391304347826087,20.88235294117647,9,1,2,0,1.7601,w,2014-11-08 15:00:00,1,0,0,3,0.464846
74,EPL,2014,Southampton,a,0.863156,1.13228,0.863156,1.13228,6.2,20.857142857142858,14,3,1,1,1.0588,d,2014-11-24 20:00:00,0,1,0,1,-0.2691239999999999
74,EPL,2014,Southampton,h,0.804381,2.13214,0.804381,2.13214,9.25,10.071428571428571,3,8,0,3,0.4357,l,2014-11-30 13:30:00,0,0,1,0,-1.327759
74,EPL,2014,Southampton,a,0.570955,2.37332,0.570955,2.37332,11.91304347826087,8.25,3,13,0,1,0.2734,l,2014-12-03 19:45:00,0,0,1,0,-1.802365
74,EPL,2014,Southampton,h,1.8287,0.799261,1.8287,0.799261,6.7105263157894735,18.125,9,2,1,2,2.1603,l,2014-12-08 20:00:00,0,0,1,0,1.029439
74,EPL,2014,Southampton,a,1.713,0.396158,0.951835,0.396158,7.315789473684211,8.03225806451613,7,2,0,1,2.4957000000000003,l,2014-12-13 15:00:00,0,0,1,0,0.555677
74,EPL,2014,Southampton,h,2.21266,0.597999,2.21266,0.597999,8.137931034482758,16.25,4,2,3,0,2.5607,w,2014-12-20 15:00:00,1,0,0,3,1.614661
74,EPL,2014,Southampton,a,1.30288,0.379447,1.30288,0.379447,12.25,11.541666666666666,3,4,3,1,2.1896,w,2014-12-26 15:00:00,1,0,0,3,0.923433
74,EPL,2014,Southampton,h,0.528455,0.521788,0.528455,0.521788,11.958333333333334,10.454545454545457,1,21,1,1,1.3173,d,2014-12-28 14:05:00,0,1,0,1,0.0066669999999999
74,EPL,2014,Southampton,h,2.41442,0.849285,2.41442,0.849285,10.4,13.22222222222222,5,4,2,0,2.4638,w,2015-01-01 15:00:00,1,0,0,3,1.5651349999999995
74,EPL,2014,Southampton,a,1.15706,1.19228,1.15706,1.19228,20.0,9.6,5,4,1,0,1.2969,w,2015-01-11 16:00:00,1,0,0,3,-0.03522
74,EPL,2014,Southampton,a,0.432026,0.856732,0.432026,0.856732,12.791666666666666,7.653846153846154,2,4,2,1,0.8813,w,2015-01-17 17:30:00,1,0,0,3,-0.424706
74,EPL,2014,Southampton,h,1.62682,0.262557,1.62682,0.262557,11.08695652173913,35.1,11,1,0,1,2.4931,l,2015-02-01 16:00:00,0,0,1,0,1.364263
74,EPL,2014,Southampton,a,0.963892,1.03037,0.963892,1.03037,6.444444444444445,9.636363636363637,10,5,1,0,1.2779,w,2015-02-07 15:00:00,1,0,0,3,-0.066478
74,EPL,2014,Southampton,h,1.68446,0.125464,1.68446,0.125464,7.0,16.125,14,0,0,0,2.6036,d,2015-02-11 19:45:00,0,1,0,1,1.558996
74,EPL,2014,Southampton,h,0.869183,0.695778,0.869183,0.695778,7.961538461538462,14.904761904761903,7,5,0,2,1.4551,l,2015-02-22 16:15:00,0,0,1,0,0.173405
74,EPL,2014,Southampton,a,0.579867,1.08916,0.579867,1.08916,4.851851851851852,16.235294117647058,6,4,0,1,0.8293,l,2015-02-28 15:00:00,0,0,1,0,-0.5092929999999999
74,EPL,2014,Southampton,h,2.22869,0.392674,2.22869,0.392674,4.538461538461538,9.541666666666666,7,4,1,0,2.6821,w,2015-03-03 19:45:00,1,0,0,3,1.836016
74,EPL,2014,Southampton,a,1.82802,3.19317,1.06685,3.19317,8.696969696969697,8.869565217391305,11,18,1,1,0.5471,d,2015-03-15 13:30:00,0,1,0,1,-2.12632
74,EPL,2014,Southampton,h,1.92097,1.05022,1.92097,1.05022,12.466666666666669,17.157894736842106,9,10,2,0,2.0145,w,2015-03-21 15:00:00,1,0,0,3,0.8707500000000001
74,EPL,2014,Southampton,a,0.533646,1.02048,0.533646,1.02048,4.435897435897436,8.52,6,3,0,1,0.7981,l,2015-04-04 15:00:00,0,0,1,0,-0.4868340000000001
74,EPL,2014,Southampton,h,2.37369,0.737337,1.61253,0.737337,10.64,16.045454545454547,9,3,2,0,2.5546,w,2015-04-11 15:00:00,1,0,0,3,0.875193
74,EPL,2014,Southampton,a,1.36108,2.26451,1.36108,2.26451,8.0,9.0,10,2,1,2,0.6809000000000001,l,2015-04-18 15:00:00,0,0,1,0,-0.90343
74,EPL,2014,Southampton,h,1.39327,0.531276,1.39327,0.531276,18.5,10.470588235294118,5,5,2,2,2.0993,d,2015-04-25 12:45:00,0,1,0,1,0.861994
74,EPL,2014,Southampton,a,0.906357,1.97694,0.906357,0.454598,10.1,11.041666666666666,2,2,1,2,0.5004,l,2015-05-02 15:00:00,0,0,1,0,0.4517589999999999
